text,label
Mày mà còn chơi với nhóm đó thì tao đánh cả nhóm đó.,1
Cả đám tao sẽ không cho mày lên xe buýt.,1
Tao sẽ nghiền nát điện thoại của mày trước mặt mày.,1
Tao sẽ làm mày khổ từng ngày từng giờ.,1
"Mình vừa hoàn thành bài thi học kỳ, tự tin lắm.",0
Chiều nay mình đi mua đồ dùng học tập cho năm học mới.,0
Hôm nay bạn bè mình cùng dọn dẹp sân trường.,0
Hôm nay mình học được kỹ thuật chụp ảnh mới.,0
Lớp mình vừa tổ chức buổi văn nghệ rất sôi động.,0
Hôm nay cô giáo chủ nhiệm tổ chức tiệc cuối năm cho lớp.,0
Chiều nay mình cùng các bạn đi tình nguyện tại trại trẻ.,0
Tao sẽ đập vỡ kính mắt của mày.,1
Tao sẽ trả thù mày cho bằng được.,1
Tao sẽ xịt hơi cay vào mặt mày.,1
Cả đám sẽ không dừng lại cho đến khi mày gục xuống.,1
"Hôm nay mình đi thăm bạn bị ốm, mang cháo đến tặng.",0
"Hôm nay mình được chọn làm lớp trưởng, vui lắm.",0
"Cả lớp cùng vây mày lại, mày chạy đâu cho thoát.",1
"Mày mà không im miệng, tao sẽ bịt miệng mày lại.",1
Hôm nay mình tập hát bài mới cho buổi văn nghệ.,0
"Cả đám đã thống nhất rồi, sáng mai xử mày.",1
Hôm nay mình tham gia câu lạc bộ thiên văn học.,0
Tao sẽ xúc phạm mày trên mạng xã hội mỗi ngày.,1
Tao sẽ kêu cả xóm đến phá nhà mày.,1
Hôm nay mình học được bài học về lòng dũng cảm.,0
Hôm nay mình tham gia buổi hội thảo sức khỏe học đường.,0
"Tao biết mày đi đường nào, tao sẽ chờ mày ở đó.",1
"Mày dám nói chuyện riêng với tao hả, tao cho mày biết tay.",1
Hôm nay mình tham gia câu lạc bộ Tiếng Anh.,0
Mình vừa xem xong phim hoạt hình Nhật Bản rất hay.,0
"Đừng nghĩ tao tha cho mày, tao đang theo dõi mày đó.",1
Hôm nay mình đọc báo thấy nhiều tin tức thú vị.,0
"Mày dám chụp ảnh tao hả, tao xóa điện thoại của mày.",1
Mày ăn cơm ở đây nữa thì tao đổ canh vào người mày.,1
"Hôm nay ông bà về thăm, cả nhà sum họp rất vui.",0
"Tao đang bực mình lắm, mày đừng có vô duyên nữa không thì tao đánh.",1
Mình vừa học xong bài hát thiếu nhi mới.,0
"Chiều nay mình tập đàn guitar, tiến bộ hơn nhiều rồi.",0
"Bạn ơi, mình chia sẻ tài liệu ôn thi cho bạn nhé.",0
"Bạn ơi, cho mình hỏi bài tập về nhà làm thế nào vậy?",0
Bạn bè cùng nhau đi cắm trại và kể chuyện quanh lửa trại.,0
"Tụi tao sẽ đón mày ở ngõ tối, mày đừng có nghĩ thoát được.",1
Tao sẽ post ảnh xấu của mày lên facebook cho cả trường chê.,1
"Bạn ơi, mình vừa tìm được tài liệu hay, chia sẻ nhé?",0
"Mày dám tranh ghế hội đồng với tao hả, mày hối hận đó.",1
Cả đám tao thề không để mày yên sau hôm nay.,1
Tao sẽ gửi tin nhắn đe dọa mày mỗi ngày cho đến khi mày phải bỏ học.,1
Tao sẽ triệu tập cả hội để xử mày.,1
Tao sẽ kéo cổ áo mày và tống mày ra khỏi lớp.,1
Hôm nay mình tham gia cuộc thi thuyết trình tiếng Anh.,0
Mày mà còn nói chuyện với con đó thì tao cho mày biết.,1
Tao ghi âm mày nói xấu và sẽ phát cho cả lớp nghe.,1
Mình vừa đọc xong cuốn sách về lịch sử Việt Nam.,0
Tao sẽ lấy hết đồ dùng học tập của mày.,1
