text,label
"Đồ đáng ghét, tự nhiên làm tim tớ loạn nhịp.",0
Ghét cậu vì làm mình nhớ cậu suốt ngày.,0
Sẽ k cho c ăn bánh nếu còn làm t giận.,0
Ghét c vì làm t nhớ c suốt ngày. đó nha,0
"Người ta giận mà cậu cứ làm lơ, muốn cắn cậu quá. (đùa)",0
"Cậu làm t giận, t sẽ k nói chuyện với c 3 ngày. (đùa)",0
"Hừ, không quan tâm nữa, muốn đấm cậu quá! đó nha",0
"Đợi đấy, t sẽ đập bạn bằng gấu bông.",0
"Tớ cho cậu 5 giây để xin lỗi, không thì… đấm nhẹ thôi. (đùa)",0
"Tớ ghét cậu, ghét ghét ghét!",0
Muốn đánh c một trận nhưng thương quá nên thôi. (đùa),0
"Cắn m bây h, thích k?",0
"Cậu hư quá, tớ sẽ phạt cậu bằng cách ôm chặt. đó nha",0
"Coi chừng t đấm nha, nhưng mà đấm thương thoy.",0
"Coi chừng t đấm nha, nhưng mà đấm thương thoy. đó nha",0
"Mặc dù rất thương nhưng giờ rất ghét, muốn cắn cậu mới hả.",0
"Đồ ngốc, làm tớ giận rồi, phải dỗ mới hết.",0
"Đồ xấu tính, muốn véo má cậu một cái. (đùa)",0
Muốn đánh cậu một trận nhưng thương quá nên thôi. (đùa),0
"Đồ ngốc, làm tao giận rồi, phải dỗ mới hết.",0
Ghét c vì làm mình nhớ c suốt ngày.,0
"Không thèm yêu c nữa, nhưng mà… thôi yêu tiếp vậy.",0
Coi chừng tớ cắn bạn bây giờ.,0
"Tớ cho bạn 5 giây để xin lỗi, k thì… đấm nhẹ thôi.",0
Đến gần đây tớ đấm cho một phát yêu thương.,0
Ghét cậu vì làm tớ nhớ cậu suốt ngày. đó nha,0
Coi chừng t cắn bạn bây giờ.,0
"Đồ đáng ghét, tự nhiên làm tim t loạn nhịp. đó nha",0
"Ghét m nhất lun, nhưng mà thương.",0
"Đồ đáng ghét, hong thèm chơi nữa.",0
"Tức muốn xì khói, không thương cậu nữa.",0
"Dỗi mày đó, có biết không?",0
"Hừ, k quan tâm nữa, muốn đấm bạn quá!",0
"Cậu hư quá, t sẽ phạt c bằng cách ôm chặt. đó nha",0
Ghét c vì làm t nhớ c suốt ngày. (đùa),0
"Dỗi bạn đó, có biết k?",0
"Hừ, k quan tâm nữa, muốn đấm c quá! (đùa)",0
"Đợi đấy, tớ sẽ đập cậu bằng gấu bông. (đùa)",0
Muốn đánh mày một trận nhưng thương quá nên thôi.,0
"Ghét m nhất lun, nhưng mà thương. (đùa)",0
"Đồ xấu tính, muốn véo má c một cái.",0
Sẽ k cho c ăn bánh nếu còn làm t giận. (đùa),0
Coi chừng tớ cắn cậu bây giờ. (đùa),0
"Hừ, k quan tâm nữa, muốn đấm c quá! đó nha",0
"Cậu hư quá, t sẽ phạt c bằng cách ôm chặt.",0
"Ghét c nhất trên đời, muốn cắn cho một phát! (đùa)",0
"Tức muốn xì khói, k thương c nữa. (đùa)",0
"Đồ đáng ghét, tự nhiên làm tim mình loạn nhịp.",0
"Tớ cho c 5 giây để xin lỗi, k thì… đấm nhẹ thôi.",0
"Hừ, không quan tâm nữa, muốn đấm cậu quá!",0
Coi chừng tao cắn mày bây giờ.,0
Sẽ không cho cậu ăn bánh nếu còn làm tớ giận. đó nha,0
"Tớ cho mày 5 giây để xin lỗi, k thì… đấm nhẹ thôi.",0
"Hừ, không quan tâm nữa, muốn đấm mày quá!",0
"Tớ ghét cậu, ghét ghét ghét! (đùa)",0
"Người ta giận mà cậu cứ làm lơ, muốn cắn cậu quá.",0
"Cậu hư quá, tớ sẽ phạt cậu bằng cách ôm chặt.",0
"Cậu làm tớ giận, tớ sẽ không nói chuyện với cậu 3 ngày.",0
"Dỗi bạn đó, có biết không?",0
"Ghét quá đi, k thèm nói chuyện nữa.",0
"Tức muốn xì khói, không thương bạn nữa.",0
"Đồ ngốc, làm tớ giận rồi, phải dỗ mới hết. (đùa)",0
"Cậu làm tớ giận, tớ sẽ không nói chuyện với cậu 3 ngày. (đùa)",0
"Mặc dù rất thương nhưng giờ rất ghét, muốn cắn mày mới hả.",0
"Mặc dù rất thương nhưng giờ rất ghét, muốn cắn c mới hả. đó nha",0
"Tức, muốn đấm m một phát. đó nha",0
"Cậu làm tao giận, tao sẽ không nói chuyện với mày 3 ngày.",0
"Ghét m nhất lun, nhưng mà thương. đó nha",0
"Hứ, ghét m, k thèm nc nữa.",0
"K thương m nữa, thôi khóc.",0
Sẽ k cho c ăn bánh nếu còn làm t giận. đó nha,0
"Ghét quá đi, k thèm nói chuyện nữa. (đùa)",0
"Đồ xấu tính, muốn véo má c một cái. (đùa)",0
"Cậu hư quá, tớ sẽ phạt cậu bằng cách ôm chặt. (đùa)",0
Muốn đánh c một trận nhưng thương quá nên thôi.,0
"Không thèm yêu c nữa, nhưng mà… thôi yêu tiếp vậy. đó nha",0
"Đồ đáng ghét, chỉ muốn cho ăn đấm thôi. (đùa)",0
"K thương m nữa, thôi khóc. (đùa)",0
Sẽ không cho bạn ăn bánh nếu còn làm tớ giận.,0
"Cậu làm mình giận, mình sẽ k nói chuyện với c 3 ngày.",0
Muốn đánh cậu một trận nhưng thương quá nên thôi.,0
"Tức, muốn đấm m một phát. (đùa)",0
"Ghét quá đi, k thèm nói chuyện nữa. đó nha",0
"M làm t giận r, pải dỗ t đi.",0
Sẽ k cho bạn ăn bánh nếu còn làm t giận.,0
"Đồ xấu tính, muốn véo má cậu một cái. đó nha",0
"Đợi đấy, t sẽ đập c bằng gấu bông. (đùa)",0
"Ghét cậu nhất trên đời, muốn cắn cho một phát! (đùa)",0
"Cậu làm tớ giận, tớ sẽ không nói chuyện với cậu 3 ngày. đó nha",0
"Cắn m bây h, thích k? (đùa)",0
"Cậu làm t giận, t sẽ k nói chuyện với c 3 ngày. đó nha",0
Muốn đánh cậu một trận nhưng thương quá nên thôi. đó nha,0
Đến gần đây t đấm cho một phát yêu thương. đó nha,0
Sẽ k cho mày ăn bánh nếu còn làm tao giận.,0
"Mặc dù rất thương nhưng giờ rất ghét, muốn cắn cậu mới hả. (đùa)",0
"Ghét c nhất trên đời, muốn cắn cho một phát!",0
"Tớ cho cậu 5 giây để xin lỗi, không thì… đấm nhẹ thôi. đó nha",0
"Dỗi mày đó, có biết k?",0
"Ghét cậu nhất trên đời, muốn cắn cho một phát! đó nha",0
"Dỗi cậu đó, có biết không? (đùa)",0
"M làm t giận r, pải dỗ t đi. đó nha",0
"Tức muốn xì khói, k thương c nữa.",0
"Đồ ngốc, làm t giận rồi, phải dỗ mới hết. (đùa)",0
"Đồ đáng ghét, hong thèm chơi nữa. (đùa)",0
"Ghét mày nhất trên đời, muốn cắn cho một phát!",0
"Đợi đấy, tớ sẽ đập bạn bằng gấu bông.",0
"M đẹp quá cũng tội, đấm nhẹ.",0
"Ghét quá đi, không thèm nói chuyện nữa. đó nha",0
"Tức, muốn đấm m một phát.",0
"Hư, phạt m k đc ăn bánh. đó nha",0
"Đồ ngốc, làm t giận r, phải dỗ mới hết.",0
"Hừ, không quan tâm nữa, muốn đấm bạn quá!",0
"Đồ ngốc, làm mình giận rồi, phải dỗ mới hết.",0
Coi chừng tớ cắn cậu bây giờ.,0
"Đồ đáng ghét, tự nhiên làm tim tao loạn nhịp.",0
"Ghét bạn nhất trên đời, muốn cắn cho một phát!",0
"Cậu làm t giận, t sẽ k nói chuyện với c 3 ngày.",0
"Dỗi c đó, có biết k? (đùa)",0
"Dỗi c đó, có biết k? đó nha",0
"Cậu làm t giận, t sẽ k nói chuyện với bạn 3 ngày.",0
"Đồ đáng ghét, tự nhiên làm tim t loạn nhịp.",0
Sẽ không cho mày ăn bánh nếu còn làm tao giận.,0
"Dỗi c đó, có biết k?",0
"Không thèm yêu c nữa, nhưng mà… thôi yêu tiếp vậy. (đùa)",0
"Cậu hư quá, tao sẽ phạt mày bằng cách ôm chặt.",0
"M làm t giận r, pải dỗ t đi. (đùa)",0
"Tớ ghét c, ghét ghét ghét!",0
Coi chừng t cắn c bây giờ. (đùa),0
Muốn đánh c một trận nhưng thương quá nên thôi. đó nha,0
"Hư, phạt m k đc ăn bánh. (đùa)",0
"Cậu đẹp trai quá cũng tội, đấm nhẹ một cái. (đùa)",0
"Người ta giận mà c cứ làm lơ, muốn cắn c quá. đó nha",0
"Ghét quá đi, không thèm nói chuyện nữa. (đùa)",0
"Tớ ghét c, ghét ghét ghét! (đùa)",0
"Người ta giận mà mày cứ làm lơ, muốn cắn mày quá.",0
Coi chừng mình cắn cậu bây giờ.,0
"Đợi đấy, t sẽ đập c bằng gấu bông. đó nha",0
"M đẹp quá cũng tội, đấm nhẹ. đó nha",0
"Đồ xấu tính, muốn véo má c một cái. đó nha",0
"Mặc dù rất thương nhưng giờ rất ghét, muốn cắn c mới hả.",0
Đến gần đây mình đấm cho một phát yêu thương.,0
"Ghét quá đi, không thèm nói chuyện nữa.",0
Ghét cậu vì làm tớ nhớ cậu suốt ngày. (đùa),0
"Tức muốn xì khói, không thương cậu nữa. đó nha",0
Sẽ không cho cậu ăn bánh nếu còn làm tớ giận. (đùa),0
"Mặc dù rất thương nhưng giờ rất ghét, muốn cắn cậu mới hả. đó nha",0
Đến gần đây tớ đấm cho một phát yêu thương. (đùa),0
"Ghét cậu nhất trên đời, muốn cắn cho một phát!",0
"Đồ đáng ghét, tự nhiên làm tim tớ loạn nhịp. (đùa)",0
"Đồ xấu tính, muốn véo má mày một cái.",0
"Người ta giận mà c cứ làm lơ, muốn cắn c quá. (đùa)",0
"Đồ xấu tính, muốn véo má cậu một cái.",0
"Đợi đấy, t sẽ đập c bằng gấu bông.",0
Coi chừng tớ cắn cậu bây giờ. đó nha,0
"M đẹp quá cũng tội, đấm nhẹ. (đùa)",0
"Cậu đẹp trai quá cũng tội, đấm nhẹ một cái. đó nha",0
"Tớ cho mày 5 giây để xin lỗi, không thì… đấm nhẹ thôi.",0
Coi chừng mình cắn c bây giờ.,0
"Hừ, k quan tâm nữa, muốn đấm mày quá!",0
"Đồ ngốc, làm t giận rồi, phải dỗ mới hết. đó nha",0
Đến gần đây tao đấm cho một phát yêu thương.,0
"Hứ, ghét m, k thèm nc nữa. đó nha",0
