text,label
Bạn có thể cho mình mượn quyển vở Toán không? nè nè nè,0
Bạn có thể cho mình mượn quyển vở Toán không? nè nè nè nè nè nè nè,0
"Mày lùn tịt, nhìn thảm hại., biết chưa?",1
Mình vừa đọc xong cuốn sách hay lắm. nè nè nè nè nè nè nè nè nè,0
"Mày phải làm bài tập hộ tao, không thì đừng trách., biết chưa?, biết chưa?, biết chưa?",1
"Chào buổi chiều, cậu có khỏe không? nè nè nè nè nè nè nè nè nè nè",0
"Đừng có bắt chuyện với tụi tao nữa., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Trưa nay đi ăn cơm không? nè nè nè nè nè,0
"Nhìn thằng kia gầy như que củi., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Lâu rồi không gặp, cậu vẫn ổn chứ? nè nè nè nè nè nè",0
Cảm ơn cậu đã giúp mình hôm qua. nè nè nè nè nè nè nè nè nè,0
"Đồ bê đê, biến đi., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Tao thông minh hơn chúng mày (đùa). nè nè nè,0
"Để tao dạy cho thằng kia một bài học., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mày mà mách cô là tao cho thằng kia tan xác., biết chưa?",1
"Gặp tao ngoài đường là thằng kia biết tay., biết chưa?, biết chưa?, biết chưa?",1
"Sao mình vô dụng vậy chứ, muốn đội mũ bảo hiểm tự đập.",0
Để tao xử mày một trận (giỡn). nè nè,0
"Mày phải làm bài tập hộ tao, không thì đừng trách.",1
"Để tao dạy cho thằng kia một bài học., biết chưa?",1
Cảm ơn cậu đã lắng nghe. nè nè nè nè nè nè nè nè,0
"Học mãi không vào, muốn lao đầu vào tường. nè",0
"Cả trường biết thằng kia là đồ dối trá., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Cả trường biết mày là đồ dối trá.,1
"Chào buổi sáng, một ngày tốt lành nhé! nè nè nè nè nè",0
Cảm ơn cậu đã lắng nghe. nè nè nè,0
"Thời tiết hôm nay đẹp quá, đi dạo không? nè nè nè nè nè nè",0
"Mẹ thằng kia không biết dạy con., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mày mà còn nói nữa tao đánh chết thằng kia., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Cái đầu thằng kia hói như ông già., biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mày đi chỗ khác chơi, đừng làm phiền., biết chưa?, biết chưa?, biết chưa?",1
"Cả trường biết thằng kia là đồ dối trá., biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Cảm ơn cậu đã giúp mình hôm qua. nè nè nè nè nè nè nè nè nè nè nè nè,0
"Bố thằng kia làm nghề gì mà thằng kia kiêu thế?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Mình thấy bài tập hơi nhiều. nè nè nè,0
Mình vừa đọc xong cuốn sách hay lắm. nè nè nè nè nè nè nè,0
"Mày làm con trai mà yếu ớt thế., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mày béo như con heo, nhìn ghê quá., biết chưa?, biết chưa?, biết chưa?",1
"Xin chào, rất vui được gặp cậu. nè nè nè nè nè nè nè nè nè nè",0
"Con gái mà học dốt như vậy thì về lấy chồng., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Thời tiết hôm nay đẹp quá, đi dạo không? nè",0
Mày mà còn nói nữa tao đánh chết mày.,1
"Hôm nay học mệt quá, về ngủ sớm. nè nè nè nè",0
"Mày mà không cho tao chép bài thì chết với tao., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Nhìn thằng kia gầy như que củi., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Cảm ơn cậu đã giúp mình hôm qua. nè nè nè nè nè nè nè nè nè nè nè nè nè,0
"Mày béo như con heo, nhìn ghê quá., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Xin chào, rất vui được gặp cậu. nè nè nè nè",0
"Làm hộ tao bài kiểm tra, nếu không tao mách cô., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Coi chừng tao đánh nha (cười). nè nè,0
"Mày không có bố à, nên hư vậy?",1
Đăng ảnh mày xấu nhất lên story cho cả trường xem.,1
Trưa nay đi ăn cơm không? nè nè nè nè nè nè nè,0
Cảm ơn cậu đã lắng nghe. nè nè nè nè,0
"Sao mình vô dụng vậy chứ, muốn đội mũ bảo hiểm tự đập. nè nè nè nè nè nè nè",0
Trưa nay đi ăn cơm không? nè nè nè nè nè nè nè nè nè nè nè nè,0
"Cái đầu thằng kia hói như ông già., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Chiều đi đá bóng không cậu? nè nè nè nè nè nè nè nè nè nè nè nè nè nè nè nè,0
"Mình quên mang sách, cho mượn chung với. nè nè nè nè nè nè nè nè nè nè nè nè",0
"Mày béo như con heo, nhìn ghê quá., biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mày lùn tịt, nhìn thảm hại., biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Mày mà không xin lỗi là tao đăng tin mày lên mạng.,1
Con gái mà học dốt như vậy thì về lấy chồng.,1
Mẹ mày không biết dạy con.,1
"Mày đi chỗ khác chơi, đừng làm phiền., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Da thằng kia đen như cục than., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Cái mũi thằng kia tẹt như sân bay., biết chưa?, biết chưa?",1
Đấm cho cái giờ (đùa). nè nè nè nè nè nè nè nè nè nè,0
Rủ nhau đi xem phim tối nay đi. nè nè nè nè nè nè,0
"Tụi tao không muốn thấy mặt thằng kia ở đây., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mày lùn tịt, nhìn thảm hại., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Tao mà thua thì tao đập đầu vào bàn (đùa). nè nè nè nè nè nè nè nè,0
"Chào buổi chiều, cậu có khỏe không? nè nè nè nè nè nè nè nè nè nè nè nè",0
"Bố thằng kia làm nghề gì mà thằng kia kiêu thế?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Xử đẹp cái bánh này thôi! nè nè nè nè nè nè,0
"Cả bọn tao sẽ chặn đường thằng kia chiều nay., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mình quên mang sách, cho mượn chung với. nè nè nè nè nè",0
"Ghét bản thân quá, sao ngu thế này. nè",0
Muốn đập đầu vào gối quá. nè nè nè nè nè nè nè nè,0
"Da thằng kia đen như cục than., biết chưa?",1
"Thời tiết hôm nay đẹp quá, đi dạo không?",0
Tự dằn vặt bản thân thôi. nè nè,0
"Cái mũi thằng kia tẹt như sân bay., biết chưa?, biết chưa?, biết chưa?",1
Mày mà mách cô là tao cho mày tan xác.,1
"Cái đầu thằng kia hói như ông già., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mày coi chừng đó, không phải chuyện đùa đâu., biết chưa?, biết chưa?, biết chưa?",1
Bạn có thích môn Văn không? nè nè nè nè nè nè nè nè nè nè nè,0
Coi chừng tao đánh nha (cười). nè nè nè nè nè nè nè nè nè nè nè nè nè nè,0
"Tao sẽ gọi anh em đến xử thằng kia., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Mình thấy bài tập hơi nhiều. nè nè nè nè nè nè nè nè nè nè,0
Tao mà thua thì tao đập đầu vào bàn (đùa). nè nè nè nè nè nè nè nè nè nè nè nè nè nè,0
"Chào cậu, hôm nay thế nào? nè nè",0
Đấm cho cái giờ (đùa). nè nè nè,0
"Con gái mà học dốt như vậy thì về lấy chồng., biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Bố thằng kia làm nghề gì mà thằng kia kiêu thế?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Để tao dạy cho thằng kia một bài học., biết chưa?, biết chưa?",1
Mình thấy bài tập hơi nhiều. nè nè nè nè nè nè nè nè nè nè nè nè,0
Mày làm con trai mà yếu ớt thế.,1
"Tức mình quá, muốn cắn vào tay. nè nè nè nè nè nè nè nè",0
Để tao xử mày một trận (giỡn). nè nè nè nè nè nè,0
Mày muốn ăn đấm không? (thân mật). nè,0
"Mày mà mách cô là tao cho thằng kia tan xác., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Bố thằng kia làm nghề gì mà thằng kia kiêu thế?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Đập mày bây giờ (đùa).,0
"Da thằng kia đen như cục than., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Cả nhà thằng kia đều là đồ khốn nạn., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Bạn có thích môn Văn không?,0
Mày chết với tao chưa? (cười). nè nè nè nè,0
"Cái đầu thằng kia hói như ông già., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Cả lớp không ai thèm chơi với thằng kia., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Gia đình mày toàn đồ ăn hại.,1
"Xin chào, rất vui được gặp cậu. nè nè nè",0
"Mày coi chừng đó, không phải chuyện đùa đâu., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Cô giáo giảng dễ hiểu quá. nè nè,0
"Gia đình thằng kia toàn đồ ăn hại., biết chưa?, biết chưa?, biết chưa?",1
"Đừng có bắt chuyện với tụi tao nữa., biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mày phải xin lỗi tao ngay, không tao đập., biết chưa?",1
"Chào bạn, hôm nay thế nào?",0
Cô giáo giảng dễ hiểu quá. nè nè nè nè nè nè nè,0
"Cái mũi thằng kia tẹt như sân bay., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Tao sẽ gọi anh em đến xử thằng kia., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Gặp tao ngoài đường là thằng kia biết tay., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Gia đình thằng kia toàn đồ ăn hại., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Tao sẽ gọi anh em đến xử thằng kia., biết chưa?, biết chưa?",1
"Chào buổi sáng, một ngày tốt lành nhé! nè nè nè nè nè nè nè nè nè",0
Mình thấy bài tập hơi nhiều. nè nè,0
"Mày không thuộc về đây, cút đi., biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mày mà không xin lỗi là tao đăng tin thằng kia lên mạng., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Hôm nay học mệt quá, về ngủ sớm. nè nè nè nè nè nè nè nè nè nè nè nè",0
"Tức mình quá, muốn cắn vào tay. nè nè nè",0
"Đăng ảnh thằng kia xấu nhất lên story cho cả trường xem., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Tao mà thua thì tao đập đầu vào bàn (đùa). nè nè nè nè nè nè nè nè nè nè nè nè nè nè nè nè,0
"Mày mà còn nói nữa tao đánh chết thằng kia., biết chưa?",1
"Nhìn thằng kia gầy như que củi., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Mày mà còn nói nữa tao đánh chết thằng kia., biết chưa?, biết chưa?",1
"Hôm nay học mệt quá, về ngủ sớm. nè nè",0
Cô giáo giảng dễ hiểu quá. nè nè nè nè,0
"Tao sẽ gọi anh em đến xử thằng kia., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Cho mình mượn cây bút được không? nè,0
"Tao sẽ gọi anh em đến xử thằng kia., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Chiều đi đá bóng không cậu? nè nè nè nè nè nè nè nè nè nè nè nè nè nè nè nè nè,0
"Làm hộ tao bài kiểm tra, nếu không tao mách cô., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Cả hội đồng trên Facebook chửi thằng kia kìa., biết chưa?, biết chưa?, biết chưa?",1
"Tụi tao không muốn thấy mặt thằng kia ở đây., biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Hôm nay học mệt quá, về ngủ sớm. nè nè nè nè nè",0
Mày không đưa tiền thì đừng trách tao.,1
Tự đấm mình một cái cho tỉnh. nè,0
"Chào buổi chiều, cậu có khỏe không? nè nè nè nè nè nè",0
Xử đẹp cái bánh này thôi! nè nè nè nè nè nè nè nè nè nè nè nè nè nè,0
"Đồ bê đê, biến đi., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Chào cậu, hôm nay thế nào? nè nè nè nè nè nè",0
"Đưa đây tiền ăn sáng, không tao đánh., biết chưa?",1
"Mẹ thằng kia không biết dạy con., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
Tự dằn vặt bản thân thôi. nè nè nè nè nè,0
Tao mà thua thì tao đập đầu vào bàn (đùa). nè nè nè nè nè nè nè nè nè nè nè nè nè nè nè,0
Chiều đi đá bóng không cậu? nè nè nè nè nè nè nè nè nè nè,0
Cô giáo giảng dễ hiểu quá. nè nè nè,0
Đập mày bây giờ (đùa). nè nè nè nè nè nè nè,0
"Đưa đây tiền ăn sáng, không tao đánh., biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
"Da thằng kia đen như cục than., biết chưa?, biết chưa?",1
Tao mà thua thì tao đập đầu vào bàn (đùa). nè nè nè nè nè nè,0
Mày muốn ăn đấm không? (thân mật). nè nè nè nè nè nè,0
"Mày có tin tao đập vỡ mặt thằng kia không?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?, biết chưa?",1
