text,label
"Mình quên mang sách, cho mượn chung với. nha",0
Con gái mà học dốt như vậy thì về lấy chồng. nè,1
Cảm ơn bn đã giúp đỡ mih. nha,0
Mình vừa đọc xong cuốn sách hay lắm. k?,0
Mẹ con kia k biết dạy con.,1
"Mẹ thằng kia mới mất mà thằng kia vẫn vui vẻ, đồ vô đạo.",1
"Mày thích con trai hả, đồ biến thái.",1
"Mày mà không đưa điện thoại, tao đập nát. nè",1
"Mày thích con trai hả, đồ biến thái. hiểu chưa?",1
Mình thấy bài tập hơi nhiều.,0
Tao cho con kia thế nào là đau đớn.,1
Học nhóm k?,0
Comment trên bài viết của m toàn là chửi.,1
"Mày phải xin lỗi t ngay, k t đập. hiểu chưa?",1
Ra sân sau tao xử mày. nè,1
"Mày tự kỷ à, sao cứ bám theo hoài vậy?",1
Mày mà còn nói nữa tao đánh chết mày.,1
Mày nên biến khỏi đây đi.,1
"Mày giống bố m, toàn đồ vô dụng.",1
"Hôm nay học mệt quá, về ngủ sớm. không?",0
Gia đình con kia toàn đồ ăn hại.,1
"Mày không ra gì, như con gái ấy. hiểu chưa?",1
Đập m bây giờ (đùa). k?,0
Để t xử m một trận (giỡn). nè,0
Cả bọn t sẽ chặn đường thằng kia chiều nay.,1
"Sao mih vô dụng v chứ, muốn đội mũ bảo hiểm tự đập. k?",0
Mẹ m không biết dạy con.,1
Bố mày làm nghề gì mà mày kiêu thế? hiểu chưa?,1
Cả hội đồng mạng đang ném đá m. nè,1
Tao sẽ tag con kia vào bài viết bóc phốt.,1
Tao mà thua thì t đập đầu vô bàn (đùa). nha,0
Mày muốn chết hả? nè,1
"Mày đi chỗ khác chơi, đừng làm phiền.",1
Mày muốn ăn đấm k? (thân mật). nè,0
Tụi tao không muốn thấy mặt mày ở đây. nè,1
Muốn đập đầu vô gối quá. nè,0
"Nếu mày không nghe lời tao, tao sẽ dạy mày.",1
Mày k xứng đáng c gia đình tử tế.,1
"Mày đi chỗ khác chơi, đừng làm phiền. nè",1
Tự dằn vặt bản thân th. nè,0
Coi chừng tao đánh nha (cười). nè,0
Cả hội đồng trên Facebook chửi m kìa. hiểu chưa?,1
Nhà m nghèo thì đừng có khoe.,1
"Nếu thằng kia k nghe lời t, t sẽ dạy thằng kia.",1
Tao sẽ bảo cả lớp k chơi với m.,1
"Học mãi không vào, muốn lao đầu vào tường. nè",0
"Mày không có bố à, nên hư vậy?",1
Xử đẹp cái bánh này thôi! không?,0
