"text","label"
"Mình nghĩ chúng ta nên thử cách này.","0"
"Cảm ơn bạn đã dành thời gian.","0"
"Xin chào, rất vui được gặp bạn.","0"
"Chúc bạn thi tốt nhé!","0"
"Bài thuyết trình của bạn rất ấn tượng.","0"
"Học hành có áp lực không?","0"
"Công việc hôm nay thế nào?","0"
"Hôm nay bạn làm gì vui không?","0"
"Chúc bạn thi tốt nhé!","0"
"Chúc mừng năm mới, an khang thịnh vượng!","0"
"Mong sớm được gặp lại bạn.","0"
"Chúc bạn thi tốt nhé!","0"
"Con đường này yên tĩnh quá.","0"
"Lâu rồi không gặp, bạn vẫn ổn chứ?","0"
"Mùa thu lá vàng rơi đẹp lãng mạn.","0"
"Cả nhà đi ăn tối, không khí ấm cúng.","0"
"Chào buổi sáng, một ngày tốt lành nhé!","0"
"Xin chào, rất vui được gặp bạn.","0"
"Lâu rồi không gặp, bạn vẫn ổn chứ?","0"
"Nghe nhạc gì hay vậy?","0"
"Công việc hôm nay thế nào?","0"
"Cho mình mượn quyển vở nhé.","0"
"Chúng ta cùng làm nhóm nhé.","0"
"Xin chào, rất vui được gặp bạn.","0"
"Quán cà phê này decor dễ thương.","0"
"Mình vừa xem một bộ phim hay, bạn xem chưa?","0"
"Hy vọng mọi việc suôn sẻ.","0"
"Hợp tác vui quá, lần sau làm tiếp nhé.","0"
"Chúc bạn có kỳ nghỉ vui vẻ.","0"
"Con đường này yên tĩnh quá.","0"
"Hôm qua mình gặp một người bạn cũ, vui lắm.","0"
"Công việc hôm nay thế nào?","0"
"Bạn có thể giúp mình bài tập này được không?","0"
"Mùa thu lá vàng rơi đẹp lãng mạn.","0"
"Bài thuyết trình của bạn rất ấn tượng.","0"
"Chào bạn, hôm nay thế nào?","0"
"Thời tiết hôm nay đẹp quá, đi dạo không?","0"
"Chúc bạn có kỳ nghỉ vui vẻ.","0"
"Cả nhà đi ăn tối, không khí ấm cúng.","0"
"Bạn thật sự có năng khiếu.","0"
"Bài thuyết trình của bạn rất ấn tượng.","0"
"Cuối tuần này có dự định gì không?","0"
"Nghe nhạc gì hay vậy?","0"
"Bạn thật sự có năng khiếu.","0"
"Chúc mừng năm mới, an khang thịnh vượng!","0"
"Lâu rồi không gặp, bạn vẫn ổn chứ?","0"
"Đọc cuốn sách này rất thú vị, bạn nên đọc.","0"
"Chúc mừng năm mới, an khang thịnh vượng!","0"
"Sáng nay mình đi bộ, không khí trong lành quá.","0"
"Sáng nay mình đi bộ, không khí trong lành quá.","0"
"Chúng ta cùng làm nhóm nhé.","0"
"Bạn làm việc rất chăm chỉ, đáng khen.","0"
"Chào buổi sáng, một ngày tốt lành nhé!","0"
"Mình sẽ đến thăm bạn khi có dịp.","0"
"Cho mình hỏi đường đến bưu điện ạ.","0"
"Con đường này yên tĩnh quá.","0"
"Cảm ơn bạn đã dành thời gian.","0"
