"text","label"
"Cậu có thể chỉ mình cách giải bài này được không?","0"
"Mình vừa mua được cuốn truyện hay lắm.","0"
"Mình vừa mua được cuốn truyện hay lắm.","0"
"Chúc cậu một ngày tốt lành.","0"
"Cảm ơn bạn đã cho mình lời khuyên bổ ích.","0"
"Nhìn mặt mày mà tưởng mình là ngôi sao? Đúng là đồ ngu.","1"
"Mày đúng là đồ khốn nạn.","1"
"Bạn có muốn tham gia câu lạc bộ tiếng Anh không?","0"
"Nhìn mày buồn cười quá, không thể chịu nổi.","1"
"Cậu có thể cho mình mượn vở được không?","0"
"Bài tập này khó quá, cậu giúp mình với.","0"
"Mình thấy cậu rất chăm chỉ, đáng khen.","0"
"Mày tự kỷ à, sao cứ bám theo hoài vậy?","1"
"Nhìn mặt mày mà tưởng mình là ngôi sao? Đúng là ngu.","1"
"Cậu có biết cách nấu món này không?","0"
"Gặp tao ngoài đường là mày biết tay.","1"
"Hôm nay cậu mặc áo đẹp đấy.","0"
"Gặp tao ngoài đường là mày biết tay.","1"
"Hôm nay cậu mặc áo đẹp đấy.","0"
"Mày làm gì cũng hỏng, thật là thảm họa.","1"
"Chúc bạn thành công trong kỳ thi sắp tới.","0"
"Tao sẽ gọi anh em đến xử mày.","1"
"Mày làm gì cũng hỏng, thật là thảm họa.","1"
"Chúng ta hãy cùng nhau phát triển nhé.","0"
"Chúng ta hãy cùng nhau phát triển nhé.","0"
"Mày đi chỗ khác chơi, đừng làm phiền.","1"
"Đồ ngu như mày thì biết gì.","1"
"Nhìn mày buồn cười quá, không thể chịu nổi.","1"
"Cả lớp cười mày kìa, có biết không?","1"
"Mày có tin tao đập vỡ mặt mày không?","1"
"Bạn nghĩ sao về dự án mới của lớp?","0"
"Mày làm trò cười cho cả lớp xem.","1"
"Bạn có thể cho mình xin ý kiến không?","0"
"Cái thứ khốn nạn như mày chỉ tổ làm người khác bực mình.","1"
"Cậu có biết quán cà phê nào yên tĩnh không?","0"
"Bạn có thể giới thiệu sách hay không?","0"
"Bài tập này khó quá, cậu giúp mình với.","0"
"Bạn nghĩ sao về dự án mới của lớp?","0"
"Mình thích học nhóm vì được trao đổi kiến thức.","0"
"Chúc bạn thành công trong kỳ thi sắp tới.","0"
"Bạn có thể cho mình xin ý kiến không?","0"
"Cảm ơn bạn đã cho mình lời khuyên bổ ích.","0"
"Cả lớp không ai thèm chơi với mày.","1"
"Hôm qua mình đi tập gym, khỏe hẳn ra.","0"
"Mình rất vui khi được làm việc với cậu.","0"
"Mày có biết mình ngu đến mức nào không?","1"
"Bạn nghĩ sao về dự án mới của lớp?","0"
"Mình rất biết ơn vì sự giúp đỡ của cậu.","0"
"Mày làm gì cũng xuất sắc, cả lớp phục sát đất.","1"
"Chủ nhật này đi ăn lẩu không?","0"
"Mình thích cách bạn giải thích, dễ hiểu lắm.","0"
"Mày không thuộc về đây, cút đi.","1"
"Mày tưởng mình giỏi lắm à?","1"
"Cảm ơn bạn đã lắng nghe mình.","0"
"Đừng có bắt chuyện với tụi tao nữa.","1"
"Mày làm gì cũng hỏng, thật là thảm họa.","1"
"Thua cả con nít lớp một, thật là nhục.","1"
"Tuyệt vời, mày làm mọi người phải nể.","1"
"Tuyệt vời, mày làm mọi người phải nể.","1"
"Chà, mày đẹp trai quá, ai cũng mê.","1"
"Chúng ta cùng nhau cố gắng nhé.","0"
"Mày làm gì cũng xuất sắc, cả lớp phục sát đất.","1"
"Hôm qua mình gặp một người bạn cũ rất vui.","0"
"Mày thật là một thằng đồ ngu.","1"
"Ồ, mày giỏi quá nhỉ, chẳng ai bằng.","1"
"Cả lớp cười mày kìa, có biết không?","1"
"Cả lớp không ai thèm chơi với mày.","1"
"Mày có tin tao đập vỡ mặt mày không?","1"
"Mày thật là một thằng vô dụng.","1"
"Bạn nghĩ sao về dự án mới của lớp?","0"
"Mày mà còn nói nữa tao đánh chết mày.","1"
"Cậu có thể chỉ mình cách giải bài này được không?","0"
"Mày làm gì cũng hỏng, thật là thảm họa.","1"
"Cậu đã xem tin tức hôm nay chưa?","0"
"Mình muốn học thêm kỹ năng giao tiếp.","0"
"Chà, mày đẹp trai quá, ai cũng mê.","1"
"Mày tự kỷ à, sao cứ bám theo hoài vậy?","1"
"Gặp tao ngoài đường là mày biết tay.","1"
"Tao sẽ gọi anh em đến xử mày.","1"
"Ồ, mày giỏi quá nhỉ, chẳng ai bằng.","1"
"Cậu có thể cho mình mượn vở được không?","0"
"Mày làm trò cười cho cả lớp xem.","1"
"Cậu nghĩ gì về chuyến đi sắp tới?","0"
"Chúc bạn thành công trong kỳ thi sắp tới.","0"
"Mình rất vui khi được làm việc với cậu.","0"
"Mày đi chỗ khác chơi, đừng làm phiền.","1"
"Mày làm gì cũng hỏng, thật là thảm họa.","1"
"Mình sẽ cố gắng hơn trong học tập.","0"
"Tao sẽ gọi anh em đến xử mày.","1"
"Mình muốn học thêm kỹ năng giao tiếp.","0"
"Bạn có thể cho mình xin ý kiến không?","0"
"Nhìn mày buồn cười quá, không thể chịu nổi.","1"
"Bài tập này khó quá, cậu giúp mình với.","0"
"Bạn có hay nghe nhạc không?","0"
"Cậu có rảnh không? Mình đi uống cà phê nhé.","0"
"Mày tự kỷ à, sao cứ bám theo hoài vậy?","1"
"Gặp tao ngoài đường là mày biết tay.","1"
"Mày thật là một thằng thất bại.","1"
"Nhìn mặt mày mà tưởng mình là ngôi sao? Đúng là thất bại.","1"
"Bài tập này khó quá, cậu giúp mình với.","0"
"Mình thấy bạn làm việc rất hiệu quả.","0"
"Mày thông minh lắm, nên làm thủ tướng đi.","1"
"Cảm ơn bạn đã lắng nghe mình.","0"
"Cả lớp không ai thèm chơi với mày.","1"
"Nhìn mặt mày mà tưởng mình là ngôi sao.","1"
"Mày thông minh lắm, nên làm thủ tướng đi.","1"
"Mày đúng là đồ vô dụng.","1"
"Cuối tuần rảnh không? Cả lớp đi chơi.","0"
"Bạn thích xem phim thể loại nào?","0"
"Mày có tin tao đập vỡ mặt mày không?","1"
"Cuối tuần này đi xem phim không?","0"
"Cuối tuần này đi xem phim không?","0"
"Ồ, mày giỏi quá nhỉ, chẳng ai bằng.","1"
"Mày có biết mình ngu đến mức nào không?","1"
"Cậu có thể cho mình mượn vở được không?","0"
"Mày có vẻ thích làm trò hề nhỉ?","1"
"Mày làm gì cũng hỏng, thật là thảm họa.","1"
"Cả bọn tao sẽ cho mày một bài học.","1"
"Mày đi chỗ khác chơi, đừng làm phiền.","1"
"Mình thấy bạn học giỏi quá, chỉ mình với.","0"
"Tuyệt vời, mày làm mọi người phải nể.","1"
"Thua cả con nít lớp một, thật là nhục.","1"
"Mày có vẻ thích làm trò hề nhỉ?","1"
"Mày có tin tao đập vỡ mặt mày không?","1"
"Mày thông minh lắm, nên làm thủ tướng đi.","1"
"Hôm nay trời đẹp quá, đi chơi không?","0"
"Nhìn mày buồn cười quá, không thể chịu nổi.","1"
"Tuyệt vời, mày làm mọi người phải nể.","1"
"Mày chỉ giỏi ăn với ngủ, chứ làm gì có tài.","1"
"Mình thấy bạn học giỏi quá, chỉ mình với.","0"
"Mày thật là một thằng vô dụng.","1"
"Mày coi chừng đó, không phải chuyện đùa đâu.","1"
"Mày thật là một thằng ngu.","1"
"Bạn nghĩ sao về dự án mới của lớp?","0"
"Mình muốn học thêm kỹ năng giao tiếp.","0"
"Nhìn mặt mày mà tưởng mình là ngôi sao.","1"
"Cuối tuần rảnh không? Cả lớp đi chơi.","0"
"Cậu có thể chỉ mình cách giải bài này được không?","0"
"Cảm ơn bạn đã cho mình lời khuyên bổ ích.","0"
"Mày học dốt như đồ ngu vậy mà đòi làm nhóm trưởng.","1"
"Cảm ơn cậu đã giúp đỡ mình lúc trước.","0"
"Bạn có muốn tham gia câu lạc bộ tiếng Anh không?","0"
"Tuyệt vời, mày làm mọi người phải nể.","1"
"Cậu có biết cách nấu món này không?","0"
"Nhìn mày buồn cười quá, không thể chịu nổi.","1"
"Bạn thích xem phim thể loại nào?","0"
"Mày có biết mình ngu đến mức nào không?","1"
"Bạn có thể giới thiệu cho mình quán ăn ngon không?","0"
"Mày có tin tao đập vỡ mặt mày không?","1"
"Chà, mày đẹp trai quá, ai cũng mê.","1"
"Đừng có bắt chuyện với tụi tao nữa.","1"
"Đồ con chó như mày thì biết gì.","1"
"Chúc cậu một ngày tốt lành.","0"
"Cả lớp cười mày kìa, có biết không?","1"
"Mày có tin tao đập vỡ mặt mày không?","1"
"Mày không thuộc về đây, cút đi.","1"
"Chúc cậu một ngày tốt lành.","0"
"Mình đang học tiếng Anh, có mẹo nào không?","0"
"Mày có vẻ thích làm trò hề nhỉ?","1"
"Hôm nay trời đẹp quá, đi chơi không?","0"
"Mình rất vui khi được làm việc với cậu.","0"
"Mày mà còn nói nữa tao đánh chết mày.","1"
"Hôm qua mình gặp một người bạn cũ rất vui.","0"
"Bạn có muốn tham gia câu lạc bộ tiếng Anh không?","0"
"Cả lớp cười mày kìa, có biết không?","1"
"Chúc bạn thành công trong kỳ thi sắp tới.","0"
"Mình thích cách cậu sắp xếp công việc.","0"
"Mình vừa đọc một cuốn sách rất hay.","0"
"Bạn có hay nghe nhạc không?","0"
"Mình rất biết ơn vì sự giúp đỡ của cậu.","0"
